Clients:
 Client{id=1, timeArrival=34, timeService=5}
Client{id=2, timeArrival=77, timeService=9}
Client{id=3, timeArrival=75, timeService=4}
Client{id=4, timeArrival=56, timeService=5}
Client{id=5, timeArrival=86, timeService=6}
Client{id=6, timeArrival=57, timeService=3}
Client{id=7, timeArrival=80, timeService=7}
Client{id=8, timeArrival=44, timeService=4}
Client{id=9, timeArrival=46, timeService=8}
Client{id=10, timeArrival=41, timeService=3}
Client{id=11, timeArrival=15, timeService=4}
Client{id=12, timeArrival=54, timeService=7}
Client{id=13, timeArrival=93, timeService=6}
Client{id=14, timeArrival=12, timeService=7}
Client{id=15, timeArrival=38, timeService=8}
Client{id=16, timeArrival=84, timeService=4}
Client{id=17, timeArrival=30, timeService=4}
Client{id=18, timeArrival=67, timeService=9}
Client{id=19, timeArrival=25, timeService=7}
Client{id=20, timeArrival=74, timeService=8}
Client{id=21, timeArrival=16, timeService=6}
Client{id=22, timeArrival=31, timeService=6}
Client{id=23, timeArrival=96, timeService=5}
Client{id=24, timeArrival=43, timeService=8}
Client{id=25, timeArrival=62, timeService=3}
Client{id=26, timeArrival=66, timeService=7}
Client{id=27, timeArrival=33, timeService=8}
Client{id=28, timeArrival=58, timeService=9}
Client{id=29, timeArrival=100, timeService=3}
Client{id=30, timeArrival=59, timeService=4}
Client{id=31, timeArrival=46, timeService=5}
Client{id=32, timeArrival=21, timeService=5}
Client{id=33, timeArrival=84, timeService=8}
Client{id=34, timeArrival=22, timeService=8}
Client{id=35, timeArrival=47, timeService=4}
Client{id=36, timeArrival=51, timeService=7}
Client{id=37, timeArrival=100, timeService=9}
Client{id=38, timeArrival=64, timeService=8}
Client{id=39, timeArrival=78, timeService=4}
Client{id=40, timeArrival=71, timeService=8}
Client{id=41, timeArrival=24, timeService=9}
Client{id=42, timeArrival=66, timeService=3}
Client{id=43, timeArrival=79, timeService=6}
Client{id=44, timeArrival=35, timeService=6}
Client{id=45, timeArrival=28, timeService=5}
Client{id=46, timeArrival=38, timeService=4}
Client{id=47, timeArrival=49, timeService=9}
Client{id=48, timeArrival=58, timeService=8}
Client{id=49, timeArrival=46, timeService=7}
Client{id=50, timeArrival=77, timeService=6}
Client{id=51, timeArrival=97, timeService=8}
Client{id=52, timeArrival=20, timeService=7}
Client{id=53, timeArrival=38, timeService=3}
Client{id=54, timeArrival=84, timeService=5}
Client{id=55, timeArrival=21, timeService=4}
Client{id=56, timeArrival=59, timeService=9}
Client{id=57, timeArrival=87, timeService=7}
Client{id=58, timeArrival=81, timeService=5}
Client{id=59, timeArrival=72, timeService=5}
Client{id=60, timeArrival=21, timeService=5}
Client{id=61, timeArrival=37, timeService=8}
Client{id=62, timeArrival=13, timeService=7}
Client{id=63, timeArrival=22, timeService=6}
Client{id=64, timeArrival=36, timeService=6}
Client{id=65, timeArrival=43, timeService=4}
Client{id=66, timeArrival=72, timeService=8}
Client{id=67, timeArrival=32, timeService=8}
Client{id=68, timeArrival=91, timeService=3}
Client{id=69, timeArrival=43, timeService=8}
Client{id=70, timeArrival=89, timeService=9}
Client{id=71, timeArrival=73, timeService=3}
